date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:27	387418/387418	---MCZ	200	added ('OK')	application/javascript	etag:%225e95a-5c292b36dc09d-gzip%22	https://themesbrand.com/skote-django/layouts/assets/libs/tinymce/tinymce.min.js	E:/dashboard/themesbrand.com/skote-django/layouts/assets/libs/tinymce/tinymce.min.js	(from https://themesbrand.com/skote-django/layouts/email-inbox.html)
15:27:29	966/966	---M-Z	200	added ('OK')	application/javascript	etag:%223c6-5c292b367c53b-gzip%22	https://themesbrand.com/skote-django/layouts/assets/js/pages/email-editor.init.js	E:/dashboard/themesbrand.com/skote-django/layouts/assets/js/pages/email-editor.init.js	(from https://themesbrand.com/skote-django/layouts/email-inbox.html)
15:27:29	278/278	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Nov%202021%2013:27:29%20GMT	https://themesbrand.com/skote-django/layouts/assets/libs/summernote/summernote-bs4.min.css	E:/dashboard/themesbrand.com/skote-django/layouts/assets/libs/summernote/summernote-bs4.min.css	(from https://themesbrand.com/skote-django/layouts/email-read.html)
15:27:32	1992467/1992467	---M--	200	added ('OK')	image/jpeg	etag:%221e6713-5c292b366fa17%22	https://themesbrand.com/skote-django/layouts/assets/images/crypto/blog/img-3.jpg	E:/dashboard/themesbrand.com/skote-django/layouts/assets/images/crypto/blog/img-3.jpg	(from https://themesbrand.com/skote-django/layouts/crypto-ico-landing.html)
15:27:33	182435/182435	---M--	200	added ('OK')	image/jpeg	etag:%222c8a3-5c292b36786ba%22	https://themesbrand.com/skote-django/layouts/assets/images/small/img-3.jpg	E:/dashboard/themesbrand.com/skote-django/layouts/assets/images/small/img-3.jpg	(from https://themesbrand.com/skote-django/layouts/email-read.html)
15:27:34	11962/11962	---M--	200	added ('OK')	image/jpeg	etag:%222eba-5c292b367b59b%22	https://themesbrand.com/skote-django/layouts/assets/images/users/avatar-7.jpg	E:/dashboard/themesbrand.com/skote-django/layouts/assets/images/users/avatar-7.jpg	(from https://themesbrand.com/skote-django/layouts/invoices-list.html)
15:27:34	8984/8984	---M--	200	added ('OK')	image/png	etag:%222318-5c292b36563ce%22	https://themesbrand.com/skote-django/layouts/assets/images/companies/img-4.png	E:/dashboard/themesbrand.com/skote-django/layouts/assets/images/companies/img-4.png	(from https://themesbrand.com/skote-django/layouts/projects-grid.html)
15:27:35	8041/8041	---M--	200	added ('OK')	image/png	etag:%221f69-5c292b36563ce%22	https://themesbrand.com/skote-django/layouts/assets/images/companies/img-5.png	E:/dashboard/themesbrand.com/skote-django/layouts/assets/images/companies/img-5.png	(from https://themesbrand.com/skote-django/layouts/projects-grid.html)
15:27:35	7408/7408	---M--	200	added ('OK')	image/png	etag:%221cf0-5c292b36563ce%22	https://themesbrand.com/skote-django/layouts/assets/images/companies/img-6.png	E:/dashboard/themesbrand.com/skote-django/layouts/assets/images/companies/img-6.png	(from https://themesbrand.com/skote-django/layouts/projects-grid.html)
15:27:35	479/479	---M-Z	200	added ('OK')	application/javascript	etag:%221df-5c292b367d4dc-gzip%22	https://themesbrand.com/skote-django/layouts/assets/js/pages/project-overview.init.js	E:/dashboard/themesbrand.com/skote-django/layouts/assets/js/pages/project-overview.init.js	(from https://themesbrand.com/skote-django/layouts/projects-overview.html)
